To_Time,High,Low,Open,Close
2020-02-14 11:30:00,325.89,324.87,325.6518,325.11
2020-02-14 12:00:00,325.23,323.32,325.1995,324.97
2020-02-14 12:30:00,325.1299,324.18,324.9882,324.52
2020-02-14 13:00:00,324.7,324.01,324.5136,324.1998
2020-02-14 13:30:00,325.09,323.96,324.19,324.24
2020-02-14 14:00:00,324.87,323.95,324.2566,324.0798
2020-02-14 14:30:00,324.87,323.33,324.0861,324.1231
2020-02-14 15:00:00,324.63,323.83,324.12,324.4662
2020-02-14 15:30:00,324.53,323.66,324.46,323.73
2020-02-14 16:00:00,325.0,314.13,323.72,324.94
2020-02-18 10:00:00,318.39,314.61,315.35,317.74
2020-02-18 10:30:00,317.84,315.33,317.74,316.56
2020-02-18 11:00:00,318.64,316.52,316.59,317.78
2020-02-18 11:30:00,324.95,316.65,317.8053,316.99
2020-02-18 12:00:00,324.95,315.6,316.99,315.618
2020-02-18 12:30:00,318.0,315.2,315.6182,316.2785
2020-02-18 13:00:00,317.2,314.61,316.28,317.0724
2020-02-18 13:30:00,318.2,314.6101,317.0692,317.7099
2020-02-18 14:00:00,318.18,317.27,317.7042,318.12
2020-02-18 14:30:00,324.95,317.56,318.1018,319.15
2020-02-18 15:00:00,319.75,318.87,319.145,319.29
2020-02-18 15:30:00,319.7,318.84,319.29,319.205
2020-02-18 16:00:00,319.29,318.3,319.19,319.0
2020-02-19 10:00:00,322.98,320.0,320.03,322.71
2020-02-19 10:30:00,323.3,321.94,322.71,323.2231
2020-02-19 11:00:00,323.63,322.82,323.2138,323.575
2020-02-19 11:30:00,324.6199,323.5046,323.58,324.13
2020-02-19 12:00:00,324.48,323.75,324.13,323.9599
2020-02-19 12:30:00,324.31,323.0,323.9599,323.9357
2020-02-19 13:00:00,324.58,323.8997,323.95,324.41
2020-02-19 13:30:00,324.4613,319.0,324.42,324.2292
2020-02-19 14:00:00,324.23,323.55,324.21,323.937
2020-02-19 14:30:00,324.1852,319.0,323.92,323.93
2020-02-19 15:00:00,324.3,323.91,323.94,323.9916
2020-02-19 15:30:00,324.17,319.0,324.0,323.6806
2020-02-19 16:00:00,324.0591,319.0,323.66,323.62
2020-02-20 10:00:00,324.6695,322.5,322.57,324.38
2020-02-20 10:30:00,324.54,322.93,324.39,323.3982
2020-02-20 11:00:00,324.05,322.66,323.38,322.8196
2020-02-20 11:30:00,323.62,320.51,322.808,320.71
2020-02-20 12:00:00,320.97,318.21,320.7,319.85
2020-02-20 12:30:00,320.11,318.69,319.86,319.16
2020-02-20 13:00:00,323.62,292.55,319.18,320.2356
2020-02-20 13:30:00,323.62,319.37,320.23,320.3015
2020-02-20 14:00:00,323.62,319.5,320.3199,319.705
2020-02-20 14:30:00,323.62,319.72,319.72,319.9774
2020-02-20 15:00:00,321.18,319.92,319.97,320.38
2020-02-20 15:30:00,323.62,319.7,320.41,320.1932
2020-02-20 16:00:00,320.75,319.81,320.19,320.3
2020-02-21 10:00:00,320.45,316.2895,318.35,317.23
2020-02-21 10:30:00,317.78,316.43,317.23,317.4928
2020-02-21 11:00:00,317.68,315.57,317.48,316.3
2020-02-21 11:30:00,320.3,315.63,316.3,316.8818
2020-02-21 12:00:00,317.3,316.54,316.88,316.9594
2020-02-21 12:30:00,317.43,315.91,316.97,316.08
2020-02-21 13:00:00,320.3,314.67,316.07,315.09
2020-02-21 13:30:00,315.49,314.35,315.1,314.5628
2020-02-21 14:00:00,320.3,311.18,314.5464,312.14
2020-02-21 14:30:00,320.3,310.5,312.14,311.575
2020-02-21 15:00:00,312.6,311.3602,311.5816,312.1291
2020-02-21 15:30:00,324.95,311.1,312.1249,311.3299
2020-02-21 16:00:00,320.3,310.83,311.31,313.03
2020-02-24 10:00:00,304.18,289.22,297.27,302.76
2020-02-24 10:30:00,313.05,290.04,302.77,300.19
2020-02-24 11:00:00,313.05,292.5902,300.192,301.08
2020-02-24 11:30:00,301.3599,298.89,301.08,300.44
2020-02-24 12:00:00,317.6105,298.41,300.42,299.66
2020-02-24 12:30:00,299.8867,297.99,299.66,299.15
2020-02-24 13:00:00,300.98,298.65,299.15,300.1129
2020-02-24 13:30:00,300.278351,298.66,300.07,299.86
2020-02-24 14:00:00,300.67,299.43,299.8508,300.3899
